Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Fairlight,Sask.,25,40,-37.5,2.58,9.7
Forget,Sask.,35,55,-36.4,1.37,25.5
Frobisher,Sask.,127,160,-20.6,1.43,89.1
Gainsborough,Sask.,227,254,-10.6,0.94,241.7
Glen Ewen,Sask.,159,154,3.2,2.59,61.4
Golden West No. 95,Sask.,289,291,-0.7,781.59,0.4
Hazelwood No. 94,Sask.,244,230,6.1,714.41,0.3
Heward,Sask.,30,44,-31.8,0.92,32.4
Kennedy,Sask.,232,216,7.4,1.57,147.6
Kenosee Lake 3,Sask.,236,234,0.9,0.4,593.1
Kisbey,Sask.,158,153,3.3,2.69,58.7
Lampman,Sask.,673,675,-0.3,2.13,316.7
Manor,Sask.,305,295,3.4,2.58,118.3
Maryfield,Sask.,311,348,-10.6,2.57,121.2
Maryfield No. 91,Sask.,258,324,-20.4,748.67,0.3
Moose Creek No. 33,Sask.,306,379,-19.3,828.74,0.4
Moose Mountain No. 63,Sask.,489,492,-0.6,718.23,0.7
Mount Pleasant No. 2,Sask.,419,414,1.2,772.71,0.5
North Portal,Sask.,113,115,-1.7,2.65,42.7
Ocean Man 69,Sask.,164,185,-11.4,18.78,8.7
Ocean Man 69A,Sask.,5,0,0,2.62,1.9
Ocean Man 69C,Sask.,15,0,0,3.56,4.2
Ocean Man 69D,Sask.,0,5,-100,1.74,0
Ocean Man 69E,Sask.,10,0,0,3.86,2.6
Ocean Man 69F,Sask.,5,0,0,2.06,2.4
Ocean Man 69G,Sask.,0,0,0,0.61,0
Ocean Man 69H,Sask.,5,5,0,6.15,0.8
Ocean Man 69I,Sask.,5,5,0,1.62,3.1
Oxbow,Sask.,"1,286","1,328",-3.2,3.33,386.6
Pheasant Rump Nakota 68,Sask.,72,56,28.6,74.99,1
Reciprocity No. 32,Sask.,351,344,2,707.95,0.5
Redvers,Sask.,"1,008","1,042",-3.3,2.9,348.2
Roche Percée,Sask.,75,110,-31.8,2.87,26.1
Storthoaks,Sask.,86,108,-20.4,0.45,192.3
Storthoaks No. 31,Sask.,306,292,4.8,551.21,0.6
Stoughton,Sask.,652,649,0.5,3.45,189
Tecumseh No. 65,Sask.,255,271,-5.9,798.92,0.3
Walpole No. 92,Sask.,292,326,-10.4,832.36,0.4
Wawken No. 93 3,Sask.,614,571,7.5,743.5,0.8
Wawota,Sask.,555,543,2.2,1.28,435.1
White Bear 70,Sask.,722,691,4.5,92.45,7.8
Avonlea,Sask.,411,393,4.6,1.3,315.3
Bengough,Sask.,332,332,0,1.12,295.7
Bengough No. 40,Sask.,305,281,8.5,"1,008.64",0.3
Brokenshell No. 68,Sask.,307,312,-1.6,845.97,0.4
Caledonia No. 99,Sask.,225,245,-8.2,846.76,0.3
Cambria No. 6,Sask.,277,309,-10.4,813.31,0.3
Ceylon,Sask.,97,111,-12.6,0.76,127.2
Creelman,Sask.,103,113,-8.8,1.35,76.5
Cymri No. 36,Sask.,568,549,3.5,816.38,0.7
Elmsthorpe No. 100,Sask.,195,226,-13.7,824.15,0.2
Fillmore,Sask.,282,311,-9.3,1.32,212.8
Fillmore No. 96,Sask.,224,223,0.4,815.57,0.3
Goodwater,Sask.,40,30,33.3,0.56,71.1
Griffin No. 66,Sask.,430,438,-1.8,801.27,0.5
Halbrite,Sask.,110,119,-7.6,1.1,100
Happy Valley No. 10,Sask.,125,139,-10.1,806.93,0.2
Key West No. 70,Sask.,251,255,-1.6,786.65,0.3
Lake Alma No. 8 3,Sask.,269,272,-1.1,785.5,0.3
Lang,Sask.,176,189,-6.9,0.65,272.1
Laurier No. 38,Sask.,253,296,-14.5,816.25,0.3
Lomond No. 37,Sask.,275,296,-7.1,825.6,0.3
Macoun,Sask.,272,269,1.1,1.7,160.4
McTaggart,Sask.,125,121,3.3,0.75,166.9
Midale,Sask.,510,604,-15.6,1.62,315.3
Milestone,Sask.,682,699,-2.4,2.12,321.7
Minton,Sask.,50,55,-9.1,0.25,200.7
Norton No. 69,Sask.,233,233,0,808.81,0.3
Ogema,Sask.,383,403,-5,1.33,287.3
Osage,Sask.,25,20,25,0.62,40.5
Pangman,Sask.,238,232,2.6,0.73,324.9
Radville,Sask.,778,807,-3.6,2.95,263.7
Scott No. 98,Sask.,215,195,10.3,846.58,0.3
Souris Valley No. 7,Sask.,220,249,-11.6,804.48,0.3
Surprise Valley No. 9,Sask.,211,217,-2.8,802.64,0.3
The Gap No. 39,Sask.,181,199,-9,795.76,0.2
Torquay,Sask.,215,255,-15.7,1.35,159.4
Tribune,Sask.,25,45,-44.4,1.69,14.8
Wellington No. 97,Sask.,274,371,-26.1,831.16,0.3
Weyburn,Sask.,"11,019","10,870",1.4,19.03,579.1
Weyburn No. 67,Sask.,"1,103","1,064",3.7,808.5,1.4
Yellow Grass,Sask.,483,478,1,2.67,181.1
Assiniboia 2,Sask.,"2,333","2,424",-3.8,3.68,633.6
Auvergne No. 76,Sask.,381,412,-7.5,846.86,0.4
Coronach,Sask.,612,643,-4.8,2.34,261.7
Excel No. 71,Sask.,411,391,5.1,"1,093.31",0.4
Glen Bain No. 105,Sask.,195,180,8.3,827.17,0.2
Glen McPherson No. 46,Sask.,76,72,5.6,845.13,0.1
Gravelbourg,Sask.,986,"1,083",-9,3.21,307.1
Gravelbourg No. 104 2,Sask.,317,372,-14.8,824.45,0.4
Hart Butte No. 11,Sask.,263,252,4.4,839.22,0.3
Hazenmore 3,Sask.,75,65,15.4,0.68,109.6
Kincaid,Sask.,120,111,8.1,0.54,223.9
Lafleche,Sask.,373,382,-2.4,1.43,261.5
Lake Johnston No. 102,Sask.,140,170,-17.6,555.8,0.3
Lake of the Rivers No. 72,Sask.,252,279,-9.7,665.26,0.4
Limerick,Sask.,114,115,-0.9,0.61,186.9
Mankota,Sask.,198,205,-3.4,1.5,132.2
Mankota No. 45,Sask.,289,292,-1,"1,693.17",0.2
Mossbank,Sask.,368,360,2.2,1.56,236.5
Neville,Sask.,88,87,1.1,0.96,91.8
Old Post No. 43,Sask.,352,377,-6.6,"1,757.50",0.2
Pinto Creek No. 75 3,Sask.,251,288,-12.8,838.82,0.3
Ponteix,Sask.,577,563,2.5,1.19,485.2
Poplar Valley No. 12,Sask.,190,195,-2.6,765.28,0.2
Rockglen,Sask.,399,441,-9.5,2.65,150.6
Stonehenge No. 73 2,Sask.,385,380,1.3,956.43,0.4
Sutton No. 103,Sask.,230,240,-4.2,792.29,0.3
Terrell No. 101,Sask.,210,241,-12.9,837.04,0.3
Vanguard,Sask.,184,134,37.3,1.86,98.8
Waverley No. 44,Sask.,295,336,-12.2,"1,425.78",0.2
Whiska Creek No. 106,Sask.,512,465,10.1,845.65,0.6
Willow Bunch,Sask.,299,272,9.9,0.91,329.9
Willow Bunch No. 42,Sask.,285,306,-6.9,"1,037.04",0.3
Wood Mountain,Sask.,20,20,0,0.61,32.8
Wood Mountain 160,Sask.,16,20,-20,24.37,0.7
Wood River No. 74,Sask.,466,433,7.6,824.84,0.6
Arlington No. 79,Sask.,359,366,-1.9,841.62,0.4
Bone Creek No. 108,Sask.,362,394,-8.1,834.81,0.4
Bracken,Sask.,20,20,0,0.63,31.8
Cadillac,Sask.,116,92,26.1,1.16,99.6
Carmichael No. 109 3,Sask.,462,502,-8,839.45,0.6
Climax,Sask.,137,195,-29.7,0.94,145.5
Consul,Sask.,50,73,-31.5,0.7,71.6
Eastend,Sask.,607,503,20.7,2.61,232.5
Frontier,Sask.,364,372,-2.2,1.05,346
Frontier No. 19,Sask.,347,326,6.4,"1,631.39",0.2
Grassy Creek No. 78,Sask.,341,364,-6.3,831.45,0.4
Lac Pelletier No. 107,Sask.,563,546,3.1,841.37,0.7
Lone Tree No. 18,Sask.,140,150,-6.7,821.4,0.2
Maple Creek,Sask.,"2,176","2,084",4.4,4.35,500
Maple Creek No. 111 3,Sask.,"1,167","1,063",9.8,"3,180.10",0.4
Nekaneet Cree Nation 3,Sask.,169,187,-9.6,60.32,2.8
Piapot No. 110,Sask.,280,302,-7.3,"1,942.87",0.1
Reno No. 51,Sask.,343,379,-9.5,"3,424.73",0.1
Shaunavon,Sask.,"1,784","1,714",4.1,4.8,371.7
Val Marie,Sask.,120,126,-4.8,0.43,276.3
Val Marie No. 17,Sask.,425,413,2.9,"3,059.22",0.1
White Valley No. 49,Sask.,352,478,-26.4,"2,001.56",0.2
Wise Creek No. 77,Sask.,188,205,-8.3,822.49,0.2
Atwater,Sask.,27,30,-10,1.84,14.7
Bangor,Sask.,40,38,5.3,1.57,25.5
Bird's Point,Sask.,150,112,33.9,0.59,254.1
Bredenbury,Sask.,386,372,3.8,4.61,83.7
Broadview,Sask.,541,552,-2,2.82,191.5
Cana No. 214,Sask.,904,867,4.3,813.42,1.1
Chester No. 125,Sask.,333,383,-13.1,817.66,0.4
Churchbridge,Sask.,866,896,-3.3,2.57,336.9
Churchbridge No. 211,Sask.,584,619,-5.7,899.13,0.6
Cowessess 73,Sask.,645,540,19.4,116.48,5.5
Dubuc,Sask.,71,61,16.4,0.61,117.1
Duff,Sask.,25,30,-16.7,0.27,93.1
Elcapo No. 154,Sask.,392,488,-19.7,824.3,0.5
Esterhazy,Sask.,"2,345","2,502",-6.3,5.56,421.6
Fenwood,Sask.,42,30,40,1.74,24.1
Fertile Belt No. 183,Sask.,727,781,-6.9,"1,001.93",0.7
Fleming,Sask.,70,84,-16.7,1.89,37
Gerald,Sask.,129,136,-5.1,0.74,174
Glenavon,Sask.,179,182,-1.6,1.29,139
Goodeve,Sask.,40,40,0,2.38,16.8
Grayson,Sask.,185,211,-12.3,1.79,103.2
Grayson No. 184,Sask.,547,512,6.8,862.8,0.6
Grenfell,Sask.,"1,059","1,099",-3.6,3.14,337.2
Kahkewistahaw 72,Sask.,627,502,24.9,79.95,7.8
Kahkewistahaw No. 72-Q 3,Sask.,0,5,-100,0.74,0
Kahkewistahaw No. 72-W 3,Sask.,0,0,0,1.42,0
Killaly,Sask.,58,65,-10.8,2.64,21.9
Kingsley No. 124 3,Sask.,396,444,-10.8,828.77,0.5
Kipling,Sask.,"1,076","1,074",0.2,2.55,421.9
Langenburg,Sask.,"1,228","1,165",5.4,3.38,362.8
Langenburg No. 181,Sask.,561,557,0.7,656.42,0.9
Lemberg,Sask.,266,313,-15,2.67,99.6
Little Bone 74B,Sask.,41,24,70.8,1.78,23.1
MacNutt,Sask.,50,65,-23.1,0.92,54.3
Martin No. 122,Sask.,254,289,-12.1,542.27,0.5
McLeod No. 185,Sask.,401,365,9.9,872.52,0.5
Melville,Sask.,"4,493","4,562",-1.5,14.78,304
Melville Beach,Sask.,54,19,184.2,0.11,499.1
Moosomin,Sask.,"2,657","2,743",-3.1,7.15,371.5
Moosomin No. 121 3,Sask.,541,603,-10.3,545.78,1
Neudorf,Sask.,272,263,3.4,1.94,140.1
Ochapowace 71,Sask.,501,426,17.6,151.37,3.3
Ochapowace 71-10,Sask.,5,0,0,2.33,2.1
Ochapowace 71-18,Sask.,0,0,0,4.67,0
Ochapowace 71-54,Sask.,0,0,0,1.39,0
Ochapowace 71-7,Sask.,0,0,0,1.86,0
Rocanville,Sask.,889,863,3,2.36,376.2
Rocanville No. 151,Sask.,544,507,7.3,748.04,0.7
Sakimay 74,Sask.,250,147,70.1,83.77,3
Saltcoats,Sask.,473,484,-2.3,1.35,350
Saltcoats No. 213,Sask.,743,712,4.4,824.85,0.9
Shesheep 74A,Sask.,98,111,-11.7,12.92,7.6
Silverwood No. 123,Sask.,355,410,-13.4,827.96,0.4
Spy Hill,Sask.,173,168,3,1.15,150.4
Spy Hill No. 152,Sask.,383,323,18.6,646.54,0.6
Stanley No. 215,Sask.,508,505,0.6,824.95,0.6
Stockholm,Sask.,329,352,-6.5,1.63,202.3
Tantallon,Sask.,84,91,-7.7,0.84,99.6
Waldron,Sask.,15,15,0,1.38,10.9
Wapella,Sask.,278,326,-14.7,2.63,105.8
West End,Sask.,41,37,10.8,0.37,111.6
Whitewood,Sask.,944,862,9.5,3.93,240.5
Willowdale No. 153 3,Sask.,248,294,-15.6,594.03,0.4
Windthorst,Sask.,194,211,-8.1,1.34,144.8
Wolseley,Sask.,852,854,-0.2,5.84,146
Wolseley No. 155,Sask.,366,372,-1.6,758.46,0.5
Yarbo,Sask.,48,57,-15.8,0.76,63.4
Abernethy,Sask.,190,204,-6.9,0.98,193.7
Abernethy No. 186,Sask.,337,362,-6.9,763.11,0.4
Alice Beach,Sask.,82,51,60.8,0.71,114.7
Assiniboine 76,Sask.,703,443,58.7,158.11,4.4
B-Say-Tah,Sask.,177,156,13.5,1.02,174.1
Balcarres,Sask.,616,587,4.9,1.62,381.3
Balgonie,Sask.,"1,756","1,765",-0.5,4.76,369.2
Belle Plaine,Sask.,79,85,-7.1,1.35,58.6
Bethune,Sask.,560,399,40.4,2.38,235.7
Bratt's Lake No. 129,Sask.,328,315,4.1,844.71,0.4
Briercrest,Sask.,155,159,-2.5,0.69,226.3
Buena Vista,Sask.,646,612,5.6,3.63,177.7
Bulyea,Sask.,121,113,7.1,1.26,95.8
Carry the Kettle 76-110 3,Sask.,0,0,0,2.58,0
Carry the Kettle 76-19 3,Sask.,0,0,0,2.54,0
Chamberlain,Sask.,96,90,6.7,0.68,142.2
Craven,Sask.,266,214,24.3,1.22,217.8
Cupar,Sask.,598,564,6,0.86,694.1
Cupar No. 218,Sask.,516,503,2.6,905.53,0.6
Dilke,Sask.,60,98,-38.8,1.28,46.8
Disley,Sask.,58,67,-13.4,0.65,88.9
Drinkwater,Sask.,74,70,5.7,2.64,28
Dufferin No. 190,Sask.,454,559,-18.8,949.88,0.5
Dysart,Sask.,188,200,-6,1.19,157.6
Earl Grey,Sask.,229,246,-6.9,1.35,169.7
Edenwold,Sask.,243,233,4.3,0.69,350.6
Edenwold No. 158,Sask.,"4,466","4,490",-0.5,848.84,5.3
Findlater,Sask.,60,45,33.3,1.2,50
Fort Qu'Appelle 3,Sask.,"1,972","2,042",-3.4,5.09,387.2
Fort San,Sask.,233,222,5,2.55,91.3
Francis,Sask.,182,217,-16.1,0.62,295.2
Francis No. 127,Sask.,701,674,4,"1,077.36",0.7
Glen Harbour,Sask.,91,67,35.8,0.35,261
Grand Coulee,Sask.,606,649,-6.6,1.74,348.1
Grandview Beach,Sask.,118,35,237.1,0.25,465.5
Holdfast,Sask.,173,247,-30,1.32,130.9
Indian Head,Sask.,"1,902","1,910",-0.4,3.08,617.7
Indian Head No. 156 3,Sask.,362,336,7.7,745.38,0.5
Island View,Sask.,134,74,81.1,0.45,299
Kannata Valley,Sask.,126,88,43.2,0.63,199.1
Katepwa,Sask.,539,312,72.8,4.49,120.1
Kendal,Sask.,59,83,-28.9,0.62,95.1
Lajord No. 128,Sask.,985,"1,232",-20,945.1,1
Lebret 3,Sask.,226,221,2.3,1.24,182.2
Lipton,Sask.,284,345,-17.7,0.7,405.5
Lipton No. 217,Sask.,388,381,1.8,805.35,0.5
Little Black Bear 84,Sask.,173,137,26.3,65.68,2.6
Longlaketon No. 219,Sask.,"1,096","1,016",7.9,"1,022.45",1.1
Lumsden,Sask.,"1,800","1,824",-1.3,4.92,366
Lumsden Beach 2,Sask.,45,10,350,0.46,96.8
Lumsden No. 189,Sask.,"1,968","1,938",1.5,816.17,2.4
Markinch,Sask.,55,58,-5.2,0.68,81.4
McKillop No. 220,Sask.,897,732,22.5,663.9,1.4
McLean,Sask.,392,405,-3.2,1.32,295.9
Montmartre,Sask.,450,490,-8.2,1.69,266.1
Montmartre No. 126,Sask.,350,483,-27.5,817.75,0.4
Muscowpetung 80,Sask.,277,275,0.7,77.55,3.6
North Grove,Sask.,175,132,32.6,3.72,47.1
North Qu'Appelle No. 187,Sask.,918,855,7.4,489.53,1.9
Odessa,Sask.,220,205,7.3,1.08,204.4
Okanese 82,Sask.,213,175,21.7,52.89,4
Pasqua 79,Sask.,638,517,23.4,89.54,7.1
Peepeekisis 81,Sask.,510,491,3.9,100.83,5.1
Pelican Pointe,Sask.,38,28,35.7,0.12,315.1
Pense,Sask.,603,587,2.7,1.32,455.6
Pense No. 160,Sask.,441,508,-13.2,840.18,0.5
Piapot 75,Sask.,677,516,31.2,112.12,6
Pilot Butte,Sask.,"2,638","2,137",23.4,5.71,462.3
Qu'Appelle,Sask.,625,639,-2.2,3.88,160.9
Redburn No. 130,Sask.,253,250,1.2,845.89,0.3
Regina,Sask.,"226,404","215,106",5.3,178.81,"1,266.20"
Regina Beach,Sask.,"1,292","1,145",12.8,3.88,332.7
Rouleau,Sask.,505,540,-6.5,1.54,328.1
Sarnia No. 221,Sask.,326,322,1.2,863.89,0.4
Saskatchewan Beach,Sask.,322,258,24.8,1.57,205.2
Sedley,Sask.,367,358,2.5,1.34,274.4
Sherwood No. 159,Sask.,"1,219",974,25.2,656.66,1.9
Silton,Sask.,95,71,33.8,1.06,89.3
Sintaluta,Sask.,124,119,4.2,2.67,46.5
South Qu'Appelle No. 157,Sask.,"1,231","1,275",-3.5,877.75,1.4
Southey,Sask.,832,804,3.5,1.56,532.9
Standing Buffalo 78,Sask.,586,569,3,22.89,25.6
Star Blanket 83,Sask.,165,175,-5.7,53.17,3.1
Star Blanket 83C,Sask.,0,0,0,3,0
Strasbourg,Sask.,788,800,-1.5,5.81,135.5
Sunset Cove,Sask.,21,18,16.7,0.17,122.2
Treaty Four Reserve Grounds 77 3,Sask.,10,0,0,0.4,25.1
Tullymet No. 216,Sask.,183,200,-8.5,555.62,0.3
Vibank,Sask.,386,385,0.3,0.71,543
Wa-Pii Moos-Toosis (White Calf) 83A 3,Sask.,79,83,-4.8,0.24,333.5
Wee Too Beach,Sask.,75,79,-5.1,0.17,446.4
White City,Sask.,"3,702","3,099",19.5,7.56,489.7
Wilcox,Sask.,261,264,-1.1,1.43,183.1
Aylesbury,Sask.,67,40,67.5,1.31,51.3
Baildon No. 131,Sask.,583,620,-6,829.56,0.7
Beaver Flat,Sask.,82,72,13.9,0.89,91.8
Beechy,Sask.,209,228,-8.3,1.09,192.1
Brownlee,Sask.,55,55,0,2.57,21.4
Canaan No. 225,Sask.,145,140,3.6,549.95,0.3
Caron No. 162,Sask.,603,576,4.7,566.74,1.1
Caronport,Sask.,"1,033",994,3.9,1.82,566.3
Central Butte,Sask.,416,372,11.8,2.1,197.7
Chaplin,Sask.,222,229,-3.1,1.15,192.6
Chaplin No. 164,Sask.,127,113,12.4,837.96,0.2
Coderre,Sask.,30,30,0,0.85,35.4
Coteau Beach,Sask.,170,48,254.2,0.7,243.9
Coteau No. 255,Sask.,401,475,-15.6,895.72,0.4
Coulee No. 136,Sask.,669,563,18.8,840.54,0.8
Craik,Sask.,405,392,3.3,3.08,131.6
Craik No. 222,Sask.,272,259,5,868.48,0.3
Enfield No. 194,Sask.,268,226,18.6,"1,003.93",0.3
Ernfold,Sask.,20,15,33.3,1.29,15.5
Excelsior No. 166,Sask.,808,806,0.2,"1,196.48",0.7
Eyebrow,Sask.,130,119,9.2,2.52,51.6
Eyebrow No. 193,Sask.,220,195,12.8,830.73,0.3
Herbert,Sask.,770,856,-10,3.69,208.6
Hillsborough No. 132,Sask.,97,101,-4,434.18,0.2
Hodgeville,Sask.,147,172,-14.5,1.24,118.8
Huron No. 223,Sask.,205,198,3.5,830.68,0.2
King George No. 256,Sask.,178,226,-21.2,820.32,0.2
Lawtonia No. 135,Sask.,356,346,2.9,843.24,0.4
Lucky Lake,Sask.,270,289,-6.6,0.82,330.6
Maple Bush No. 224,Sask.,213,192,10.9,818.05,0.3
Marquis,Sask.,90,97,-7.2,0.63,143
Marquis No. 191 3,Sask.,303,312,-2.9,781.48,0.4
Mistusinne,Sask.,118,77,53.2,1.92,61.6
Moose Jaw 3,Sask.,"33,665","33,910",-0.7,65.81,511.5
Moose Jaw No. 161 3,Sask.,"1,207","1,143",5.6,777.62,1.6
Morse,Sask.,216,242,-10.7,1.54,140.3
Morse No. 165,Sask.,396,427,-7.3,"1,232.65",0.3
Mortlach,Sask.,274,261,5,2.87,95.6
Riverhurst,Sask.,152,130,16.9,1.01,150.7
Rodgers No. 133,Sask.,105,90,16.7,697.18,0.2
Rush Lake,Sask.,55,53,3.8,0.7,79.1
Shamrock,Sask.,20,20,0,0.79,25.4
Shamrock No. 134,Sask.,194,205,-5.4,761.86,0.3
South Lake,Sask.,226,169,33.7,4.95,45.7
Sun Valley,Sask.,154,118,30.5,2.03,75.7
Tugaske,Sask.,79,75,5.3,0.75,105.2
Tuxford,Sask.,103,113,-8.8,0.68,152.3
Victory No. 226,Sask.,434,380,14.2,"1,360.62",0.3
Waldeck,Sask.,294,277,6.1,1.99,147.5
Wheatlands No. 163,Sask.,157,149,5.4,818.63,0.2
Abbey,Sask.,100,129,-22.5,0.73,137.6
Big Stick No. 141,Sask.,148,136,8.8,831.87,0.2
Burstall 2,Sask.,302,278,8.6,1.09,277.1
Cabri,Sask.,413,390,5.9,1.36,303.7
Chesterfield No. 261,Sask.,419,481,-12.9,"1,962.21",0.2
Clinworth No. 230,Sask.,168,154,9.1,"1,436.33",0.1
Deer Forks No. 232 2,Sask.,208,209,-0.5,736.87,0.3
Eatonia,Sask.,498,524,-5,1.6,311.6
Elrose,Sask.,470,496,-5.2,2.89,162.8
Enterprise No. 142,Sask.,110,110,0,998.47,0.1
Eston,Sask.,972,"1,061",-8.4,2.65,366.2
Fox Valley,Sask.,259,249,4,0.7,369.7
Fox Valley No. 171,Sask.,344,330,4.2,"1,253.40",0.3
Golden Prairie,Sask.,30,30,0,0.48,62.1
Gull Lake,Sask.,908,"1,046",-13.2,2.4,378.5
Gull Lake No. 139,Sask.,185,201,-8,828.48,0.2
Happyland No. 231,Sask.,285,249,14.5,"1,269.18",0.2
Hazlet,Sask.,90,106,-15.1,0.55,163.7
Kyle,Sask.,413,449,-8,1.16,356.2
Lacadena No. 228,Sask.,787,535,47.1,"1,896.92",0.4
Lancer,Sask.,58,69,-15.9,1.32,43.9
Leader,Sask.,881,863,2.1,1.68,525.1
Mendham,Sask.,25,30,-16.7,0.59,42.3
Miry Creek No. 229,Sask.,378,370,2.2,"1,227.72",0.3
Monet No. 257,Sask.,432,445,-2.9,"1,587.99",0.3
Newcombe No. 260,Sask.,356,342,4.1,"1,094.64",0.3
Pennant,Sask.,120,130,-7.7,0.65,183.9
Pittville No. 169,Sask.,201,208,-3.4,"1,256.42",0.2
Prelate,Sask.,116,154,-24.7,0.82,141.8
Richmound,Sask.,118,147,-19.7,0.48,247.8
Riverside No. 168,Sask.,436,477,-8.6,"1,307.46",0.3
Saskatchewan Landing No. 167,Sask.,434,415,4.6,792.73,0.5
Sceptre,Sask.,78,94,-17,1.33,58.5
Snipe Lake No. 259,Sask.,410,396,3.5,"1,615.91",0.3
Stewart Valley,Sask.,107,91,17.6,0.86,125
Success,Sask.,45,45,0,1.36,33
Swift Current,Sask.,"16,750","16,604",0.9,29.3,571.6
Swift Current No. 137,Sask.,"1,995","1,932",3.3,"1,100.47",1.8
Tompkins,Sask.,153,152,0.7,2.68,57.1
Webb,Sask.,71,50,42,1.23,57.7
Webb No. 138,Sask.,567,541,4.8,"1,101.92",0.5
Arran,Sask.,20,25,-20,0.72,27.9
Buchanan,Sask.,237,218,8.7,1.13,209.4
Buchanan No. 304 3,Sask.,330,270,22.2,708.27,0.5
Calder,Sask.,81,90,-10,0.75,108
Calder No. 241,Sask.,344,370,-7,790.93,0.4
Canora,Sask.,"2,092","2,024",3.4,7.35,284.7
Clayton No. 333 3,Sask.,631,597,5.7,"1,380.68",0.5
Cote 64,Sask.,799,748,6.8,83.92,9.5
Cote No. 271,Sask.,616,548,12.4,871.02,0.7
Ebenezer,Sask.,188,185,1.6,0.6,312.6
Endeavour,Sask.,75,65,15.4,1,74.7
Garry No. 245,Sask.,370,364,1.6,790.2,0.5
Good Lake No. 274,Sask.,930,747,24.5,773.54,1.2
Hazel Dell No. 335,Sask.,511,515,-0.8,"1,358.45",0.4
Hyas 3,Sask.,89,65,36.9,0.41,215.5
Insinger No. 275,Sask.,305,315,-3.2,808.55,0.4
Invermay,Sask.,272,273,-0.4,1.2,225.8
Invermay No. 305,Sask.,269,325,-17.2,694.14,0.4
Kamsack,Sask.,"1,779","1,898",-6.3,5.67,313.5
Keeseekoose 66,Sask.,599,491,22,41.13,14.6
Keeseekoose 66-CA-04,Sask.,0,0,0,2.87,0
Keeseekoose 66-CA-05,Sask.,5,0,0,3.94,1.3
Keeseekoose 66-CA-06,Sask.,0,0,0,3.37,0
Keeseekoose 66-KE-04,Sask.,0,0,0,1.44,0
Keeseekoose 66-KE-05,Sask.,20,5,300,2.44,8.2
Keeseekoose 66A,Sask.,25,5,400,0.04,639.4
Keys No. 303 3,Sask.,548,416,31.7,656.49,0.8
Lintlaw,Sask.,150,172,-12.8,1.24,120.9
Livingston No. 331,Sask.,281,281,0,"1,326.24",0.2
Norquay,Sask.,420,434,-3.2,1.62,258.6
Orkney No. 244,Sask.,"1,883","1,875",0.4,770.05,2.4
Pelly,Sask.,255,285,-10.5,0.96,266.2
Preeceville,Sask.,"1,062","1,125",-5.6,2.86,371.8
Preeceville No. 334,Sask.,966,919,5.1,"1,368.92",0.7
Rama,Sask.,70,80,-12.5,0.67,105.1
Rhein,Sask.,149,170,-12.4,1.08,138
Sheho,Sask.,122,105,16.2,1.88,65
Sliding Hills No. 273,Sask.,438,421,4,820.7,0.5
Springside,Sask.,478,502,-4.8,0.7,679.3
St. Philips No. 301,Sask.,200,220,-9.1,647.8,0.3
Stenen,Sask.,89,90,-1.1,0.71,126
Sturgis,Sask.,646,644,0.3,3.15,205.1
The Key 65 3,Sask.,144,148,-2.7,58.59,2.5
Theodore,Sask.,315,323,-2.5,1.51,208.4
Togo,Sask.,83,86,-3.5,1.44,57.7
Wallace No. 243,Sask.,881,852,3.4,814.69,1.1
Yorkton,Sask.,"16,280","16,343",-0.4,36.19,449.8
Beardy's and Okemasis 96 and 97A,Sask.,0,5,-100,44.86,0
Big Quill No. 308 3,Sask.,520,534,-2.6,730.34,0.7
Chorney Beach 3,Sask.,51,42,21.4,0.23,224.1
Day Star 87,Sask.,145,148,-2,56.08,2.6
Elfros,Sask.,90,90,0,2.48,36.2
Elfros No. 307,Sask.,373,391,-4.6,687.56,0.5
Emerald No. 277,Sask.,370,405,-8.6,807.18,0.5
Fishing Lake 89,Sask.,506,406,24.6,33.17,15.3
Foam Lake,Sask.,"1,183","1,141",3.7,6.04,196
Foam Lake No. 276 4,Sask.,532,529,0.6,"1,284.41",0.4
Gordon 86,Sask.,763,837,-8.8,125.01,6.1
Hubbard,Sask.,45,35,28.6,1.07,42.2
Ituna,Sask.,726,701,3.6,1.47,495.5
Ituna Bon Accord No. 246,Sask.,327,374,-12.6,788.73,0.4
Jansen,Sask.,111,96,15.6,0.87,127.5
Kelliher,Sask.,244,217,12.4,2.57,94.9
Kellross No. 247 3,Sask.,396,395,0.3,809.22,0.5
Lakeside No. 338,Sask.,396,415,-4.6,653.88,0.6
Lakeview No. 337,Sask.,366,368,-0.5,709.1,0.5
Leross,Sask.,40,46,-13,1.28,31.2
Leroy,Sask.,510,450,13.3,2.11,241.4
Leroy No. 339,Sask.,457,502,-9,831.54,0.5
Leslie Beach 6,Sask.,110,41,168.3,0.66,165.6
Margo,Sask.,65,83,-21.7,0.71,91.2
Mount Hope No. 279 3,Sask.,531,531,0,"1,624.57",0.3
Muskowekwan 85,Sask.,494,436,13.3,63.8,7.7
Muskowekwan 85-1,Sask.,0,0,0,1.4,0
Muskowekwan 85-10,Sask.,0,5,-100,5.26,0
Muskowekwan 85-12,Sask.,5,0,0,2.68,1.9
Muskowekwan 85-15,Sask.,0,5,-100,3.79,0
Muskowekwan 85-17,Sask.,0,0,0,2.39,0
