Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Audet,MÉ,Que.,708,734,-3.5,134.95,5.2
Courcelles,MÉ,Que.,814,823,-1.1,90.34,9
Frontenac,MÉ,Que.,"1,811","1,734",4.4,223.6,8.1
Lac-Drolet,MÉ,Que.,"1,067","1,021",4.5,124.3,8.6
Lac-Mégantic,V,Que.,"5,747","5,654",1.6,21.98,261.5
Lambton,MÉ,Que.,"1,630","1,617",0.8,108.45,15
Marston,CT,Que.,777,705,10.2,71.83,10.8
Milan,MÉ,Que.,318,299,6.4,129.44,2.5
Nantes,MÉ,Que.,"1,388","1,377",0.8,119.16,11.6
Notre-Dame-des-Bois,MÉ,Que.,"1,028",938,9.6,192.51,5.3
Piopolis,MÉ,Que.,398,358,11.2,103.38,3.8
Saint-Augustin-de-Woburn,PE,Que.,667,692,-3.6,281.07,2.4
Saint-Ludger,MÉ,Que.,"1,074","1,071",0.3,127.58,8.4
Saint-Robert-Bellarmin,MÉ,Que.,529,575,-8,236.33,2.2
Saint-Romain,MÉ,Que.,711,691,2.9,112.12,6.3
Saint-Sébastien,MÉ,Que.,674,657,2.6,91.95,7.3
Sainte-Cécile-de-Whitton,MÉ,Que.,853,863,-1.2,146.46,5.8
Stornoway,MÉ,Que.,535,530,0.9,180.15,3
Stratford,CT,Que.,"1,036",945,9.6,119.86,8.6
Val-Racine,MÉ,Que.,183,178,2.8,116.06,1.6
Henryville,MÉ,Que.,"1,497","1,406",6.5,64.82,23.1
Lacolle,MÉ,Que.,"2,708","2,596",4.3,49.41,54.8
Mont-Saint-Grégoire,MÉ,Que.,"3,136","3,077",1.9,79.83,39.3
Noyan,MÉ,Que.,"1,418","1,392",1.9,44.28,32
Saint-Alexandre,MÉ,Que.,"2,678","2,469",8.5,76.27,35.1
Saint-Blaise-sur-Richelieu,MÉ,Que.,"2,092","2,066",1.3,69.54,30.1
Saint-Georges-de-Clarenceville,MÉ,Que.,"1,154","1,103",4.6,63.06,18.3
Saint-Jean-sur-Richelieu,V,Que.,"97,873","95,114",2.9,226.93,431.3
Saint-Paul-de-l'Île-aux-Noix,MÉ,Que.,"2,141","1,980",8.1,29.85,71.7
Saint-Sébastien,MÉ,Que.,692,718,-3.6,63.29,10.9
Saint-Valentin,MÉ,Que.,418,447,-6.5,39.27,10.6
Sainte-Anne-de-Sabrevois,PE,Que.,"2,143","2,039",5.1,44.65,48
Sainte-Brigide-d'Iberville,MÉ,Que.,"1,428","1,402",1.9,70.52,20.3
Venise-en-Québec,MÉ,Que.,"1,899","1,634",16.2,13.13,144.7
Ascot Corner,MÉ,Que.,"3,368","3,158",6.6,81.64,41.3
Bury,MÉ,Que.,"1,252","1,174",6.6,234.13,5.3
Chartierville,MÉ,Que.,319,276,15.6,141.94,2.2
Cookshire-Eaton,V,Que.,"5,344","5,393",-0.9,296.25,18
Dudswell,MÉ,Que.,"1,755","1,727",1.6,218.01,8
East Angus,V,Que.,"3,840","3,659",4.9,7.84,489.8
Hampden,CT,Que.,193,176,9.7,111.68,1.7
La Patrie,MÉ,Que.,805,768,4.8,204.61,3.9
Lingwick,CT,Que.,456,428,6.5,243.01,1.9
Newport,MÉ,Que.,698,733,-4.8,270.63,2.6
Saint-Isidore-de-Clifton,MÉ,Que.,673,695,-3.2,176.94,3.8
Scotstown,V,Que.,459,472,-2.8,11.44,40.1
Weedon,MÉ,Que.,"2,667","2,670",-0.1,215.95,12.4
Westbury,CT,Que.,"1,097","1,006",9,55.61,19.7
Akwesasne 2 5,IRI,Que.,..,"2,378",..,23.79,..
Dundee,CT,Que.,386,387,-0.3,68.41,5.6
Elgin,MÉ,Que.,389,394,-1.3,69.35,5.6
Franklin,MÉ,Que.,"1,635","1,636",-0.1,112.33,14.6
Godmanchester,CT,Que.,"1,403","1,394",0.6,138.66,10.1
Havelock,CT,Que.,756,740,2.2,88.7,8.5
Hinchinbrooke,MÉ,Que.,"2,187","2,103",4,148.36,14.7
Howick,MÉ,Que.,850,778,9.3,0.96,885
Huntingdon,V,Que.,"2,556","2,444",4.6,2.77,924.2
Ormstown,MÉ,Que.,"3,917","3,595",9,142.24,27.5
Saint-Anicet,MÉ,Que.,"2,754","2,626",4.9,135.03,20.4
Saint-Chrysostome,MÉ,Que.,"2,582","2,645",-2.4,100.2,25.8
Sainte-Barbe,MÉ,Que.,"1,609","1,324",21.5,40.14,40.1
Très-Saint-Sacrement,PE,Que.,"1,189","1,186",0.3,97.16,12.2
Chandler,V,Que.,"7,490","7,546",-0.7,418.45,17.9
Grande-Rivière,V,Que.,"3,384","3,408",-0.7,87.92,38.5
Mont-Alexandre,NO,Que.,0,0,...,"1,800.87",0
Percé,V,Que.,"3,095","3,103",-0.3,432.81,7.2
Port-Daniel--Gascons,MÉ,Que.,"2,271","2,210",2.8,300.29,7.6
Sainte-Thérèse-de-Gaspé,MÉ,Que.,979,"1,015",-3.5,34.45,28.4
Bégin,MÉ,Que.,851,818,4,189.67,4.5
Ferland-et-Boilleau,MÉ,Que.,632,540,17,383.09,1.6
L'Anse-Saint-Jean,MÉ,Que.,"1,301","1,201",8.3,501.79,2.6
Lac-Ministuk,NO,Que.,58,0,...,"1,478.79",0
Lalemant,NO,Que.,0,0,...,190.57,0
Larouche,MÉ,Que.,"1,601","1,486",7.7,84.71,18.9
Mont-Valin,NO,Que.,10,0,...,"33,540.39",0
Petit-Saguenay,MÉ,Que.,600,634,-5.4,329.63,1.8
Rivière-Éternité,MÉ,Que.,414,413,0.2,473.17,0.9
Saguenay,V,Que.,"144,723","145,949",-0.8,"1,124.63",128.7
Saint-Ambroise,MÉ,Que.,"3,883","3,781",2.7,149.37,26
Saint-Charles-de-Bourget,MÉ,Que.,784,736,6.5,62.13,12.6
Saint-David-de-Falardeau,MÉ,Que.,"2,996","2,768",8.2,398.25,7.5
Saint-Fulgence,MÉ,Que.,"2,061","2,071",-0.5,351.91,5.9
Saint-Félix-d'Otis,MÉ,Que.,"1,109",956,16,233.16,4.8
Saint-Honoré,V,Que.,"6,376","5,757",10.8,189.38,33.7
Sainte-Rose-du-Nord,PE,Que.,434,439,-1.1,116.61,3.7
Bonsecours,MÉ,Que.,650,608,6.9,60.36,10.8
Cleveland,CT,Que.,"1,581","1,541",2.6,123.59,12.8
Kingsbury,VL,Que.,142,138,2.9,6.11,23.3
Lawrenceville,VL,Que.,618,635,-2.7,16.73,36.9
Maricourt,MÉ,Que.,456,416,9.6,61.1,7.5
Melbourne,CT,Que.,"1,096","1,063",3.1,173.93,6.3
Racine,MÉ,Que.,"1,340","1,323",1.3,105.63,12.7
Richmond,V,Que.,"3,259","3,232",0.8,6.98,466.8
Saint-Claude,MÉ,Que.,"1,141","1,185",-3.7,118.85,9.6
Saint-Denis-de-Brompton,MÉ,Que.,"4,594","4,054",13.3,70.29,65.4
Saint-François-Xavier-de-Brompton,MÉ,Que.,"2,469","2,273",8.6,97.71,25.3
Sainte-Anne-de-la-Rochelle,MÉ,Que.,625,598,4.5,61.86,10.1
Stoke,MÉ,Que.,"3,014","2,955",2,255.12,11.8
Ulverton,MÉ,Que.,433,418,3.6,51.27,8.4
Val-Joli,MÉ,Que.,"1,671","1,619",3.2,91.69,18.2
Valcourt,V,Que.,"2,139","2,165",-1.2,5.41,395.2
Valcourt,CT,Que.,"1,029","1,044",-1.4,80.39,12.8
Windsor,V,Que.,"5,294","5,419",-2.3,14.53,364.3
Adstock,MÉ,Que.,"2,903","2,806",3.5,290.03,10
Beaulac-Garthby,MÉ,Que.,931,905,2.9,75.96,12.3
Disraeli,V,Que.,"2,360","2,336",1,6.8,347.1
Disraeli,PE,Que.,"1,163","1,123",3.6,92.53,12.6
East Broughton,MÉ,Que.,"2,248","2,199",2.2,8.86,253.9
Irlande,MÉ,Que.,897,884,1.5,109.85,8.2
Kinnear's Mills,MÉ,Que.,397,350,13.4,93.66,4.2
Sacré-Coeur-de-Jésus,PE,Que.,536,521,2.9,104.73,5.1
Saint-Adrien-d'Irlande,MÉ,Que.,395,399,-1,53.18,7.4
Saint-Fortunat,MÉ,Que.,255,263,-3,76.09,3.4
Saint-Jacques-de-Leeds,MÉ,Que.,711,685,3.8,80.56,8.8
Saint-Jacques-le-Majeur-de-Wolfestown,PE,Que.,186,188,-1.1,58.71,3.2
Saint-Jean-de-Brébeuf,MÉ,Que.,351,372,-5.6,79.15,4.4
Saint-Joseph-de-Coleraine,MÉ,Que.,"1,820","1,762",3.3,126.76,14.4
Saint-Julien,MÉ,Que.,378,376,0.5,81.7,4.6
Saint-Pierre-de-Broughton,MÉ,Que.,889,898,-1,150.56,5.9
Sainte-Clotilde-de-Beauce,MÉ,Que.,569,549,3.6,60.55,9.4
Sainte-Praxède,PE,Que.,351,327,7.3,136.18,2.6
Thetford Mines,V,Que.,"26,072","25,403",2.6,225.97,115.4
Lac-Boisbouscache,NO,Que.,0,0,...,98.15,0
Notre-Dame-des-Neiges,MÉ,Que.,"1,194","1,085",10,94.44,12.6
Saint-Clément,MÉ,Que.,479,460,4.1,86.72,5.5
Saint-Guy,MÉ,Que.,76,54,40.7,139.54,0.5
Saint-Jean-de-Dieu,MÉ,Que.,"1,651","1,596",3.4,152.04,10.9
Saint-Mathieu-de-Rioux,MÉ,Que.,691,639,8.1,107.27,6.4
Saint-Médard,MÉ,Que.,216,209,3.3,75.28,2.9
Saint-Simon-de-Rimouski,MÉ,Que.,455,426,6.8,74.84,6.1
Saint-Éloi,PE,Que.,310,286,8.4,65.77,4.7
Sainte-Françoise,PE,Que.,383,386,-0.8,88.83,4.3
Sainte-Rita,MÉ,Que.,303,307,-1.3,129.52,2.3
Trois-Pistoles,V,Que.,"3,115","3,246",-4,7.63,408.1
Cantley,MÉ,Que.,"11,449","10,699",7,126.12,90.8
Chelsea,MÉ,Que.,"8,000","6,909",15.8,112.65,71
L'Ange-Gardien,MÉ,Que.,"6,102","5,464",11.7,216.05,28.2
La Pêche,MÉ,Que.,"8,636","7,863",9.8,577.18,15
Notre-Dame-de-la-Salette,MÉ,Que.,841,727,15.7,113.33,7.4
Pontiac,MÉ,Que.,"6,142","5,850",5,445.27,13.8
Val-des-Monts,MÉ,Que.,"13,328","11,582",15.1,434.77,30.7
Lac-Etchemin,MÉ,Que.,"4,028","3,822",5.4,157.22,25.6
Saint-Benjamin,MÉ,Que.,"1,090",987,10.4,111.53,9.8
Saint-Camille-de-Lellis,PE,Que.,737,752,-2,251.93,2.9
Saint-Cyprien,PE,Que.,474,490,-3.3,93.48,5.1
Saint-Louis-de-Gonzague,MÉ,Que.,390,374,4.3,118.01,3.3
Saint-Luc-de-Bellechasse,MÉ,Que.,449,438,2.5,161.99,2.8
Saint-Magloire,MÉ,Que.,712,676,5.3,208.61,3.4
Saint-Prosper,MÉ,Que.,"3,596","3,590",0.2,133.74,26.9
Saint-Zacharie,MÉ,Que.,"1,684","1,653",1.9,186.56,9
Sainte-Aurélie,MÉ,Que.,856,847,1.1,78.25,10.9
Sainte-Justine,MÉ,Que.,"1,828","1,820",0.4,126.28,14.5
Sainte-Rose-de-Watford,MÉ,Que.,740,729,1.5,115.13,6.4
Sainte-Sabine,PE,Que.,343,358,-4.2,66.89,5.1
Hemmingford,VL,Que.,829,755,9.8,1.07,775.6
Hemmingford,CT,Que.,"1,995","1,900",5,157.22,12.7
Napierville,MÉ,Que.,"4,020","3,899",3.1,4.5,893.3
Saint-Bernard-de-Lacolle,MÉ,Que.,"1,542","1,549",-0.5,113.36,13.6
Saint-Cyprien-de-Napierville,MÉ,Que.,"1,735","1,927",-10,97.75,17.7
Saint-Jacques-le-Mineur,MÉ,Que.,"1,766","1,690",4.5,67.18,26.3
Saint-Michel,MÉ,Que.,"3,521","3,186",10.5,59.82,58.9
Saint-Patrice-de-Sherrington,MÉ,Que.,"1,963","1,960",0.2,92.55,21.2
Saint-Rémi,V,Que.,"8,957","8,061",11.1,78.18,114.6
Saint-Édouard,MÉ,Que.,"1,365","1,321",3.3,52.68,25.9
Sainte-Clotilde,MÉ,Que.,"2,646","1,622",63.1,78.21,33.8
Amherst,CT,Que.,"1,728","1,484",16.4,227.86,7.6
Arundel,CT,Que.,578,563,2.7,63.45,9.1
Barkmere,V,Que.,81,58,39.7,17.72,4.6
Brébeuf,PE,Que.,"1,009",976,3.4,35.78,28.2
Doncaster 5,IRI,Que.,..,..,..,74.62,..
Huberdeau,MÉ,Que.,863,868,-0.6,56.72,15.2
Ivry-sur-le-Lac,MÉ,Que.,391,387,1,29.3,13.3
La Conception,MÉ,Que.,"1,527","1,337",14.2,127.37,12
La Minerve,MÉ,Que.,"1,421","1,205",17.9,274.92,5.2
Labelle,MÉ,Que.,"2,765","2,477",11.6,196.69,14.1
Lac-Supérieur,MÉ,Que.,"1,972","1,888",4.4,365.98,5.4
Lac-Tremblant-Nord,MÉ,Que.,60,42,42.9,20.62,2.9
Lantier,MÉ,Que.,891,834,6.8,48.19,18.5
Mont-Tremblant,V,Que.,"10,992","9,646",14,233.75,47
Montcalm,MÉ,Que.,632,628,0.6,117.71,5.4
Saint-Faustin--Lac-Carré,MÉ,Que.,"3,780","3,499",8,120.21,31.4
Sainte-Agathe-des-Monts,V,Que.,"11,211","10,223",9.7,129.1,86.8
Sainte-Lucie-des-Laurentides,MÉ,Que.,"1,445","1,256",15,108.98,13.3
Val-David,VL,Que.,"5,558","4,917",13,42.66,130.3
Val-Morin,MÉ,Que.,"3,123","2,870",8.8,39.2,79.7
Val-des-Lacs,MÉ,Que.,750,744,0.8,126.7,5.9
La Présentation,MÉ,Que.,"2,638","2,540",3.9,94.39,27.9
Saint-Barnabé-Sud,MÉ,Que.,962,861,11.7,57.2,16.8
Saint-Bernard-de-Michaudville,MÉ,Que.,616,586,5.1,66.05,9.3
Saint-Damase,MÉ,Que.,"2,447","2,473",-1.1,79.65,30.7
Saint-Dominique,MÉ,Que.,"2,741","2,553",7.4,70.53,38.9
Saint-Hugues,MÉ,Que.,"1,340","1,327",1,84.64,15.8
Saint-Hyacinthe,V,Que.,"57,239","55,648",2.9,188.85,303.1
Saint-Jude,MÉ,Que.,"1,326","1,214",9.2,77.33,17.1
Saint-Liboire,MÉ,Que.,"3,036","3,062",-0.8,73.82,41.1
Saint-Louis,MÉ,Que.,740,712,3.9,47.21,15.7
Saint-Marcel-de-Richelieu,MÉ,Que.,507,497,2,51.27,9.9
Saint-Pie,V,Que.,"5,847","5,607",4.3,107.42,54.4
Saint-Simon,MÉ,Que.,"1,386","1,413",-1.9,69.05,20.1
Saint-Valérien-de-Milton,MÉ,Que.,"1,767","1,793",-1.5,106.92,16.5
Sainte-Hélène-de-Bagot,MÉ,Que.,"1,696","1,688",0.5,72.41,23.4
Sainte-Madeleine,VL,Que.,"2,268","2,233",1.6,5.36,422.9
Sainte-Marie-Madeleine,PE,Que.,"2,876","2,892",-0.6,50.04,57.5
Mascouche,V,Que.,"51,183","46,692",9.6,106.89,478.8
Terrebonne,V,Que.,"119,944","111,575",7.5,153.76,780.1
Estérel,V,Que.,262,196,33.7,12.62,20.8
Lac-des-Seize-Îles 3,MÉ,Que.,175,192,-8.9,8.88,19.7
Morin-Heights,MÉ,Que.,"4,678","4,145",12.9,55.96,83.6
Piedmont,MÉ,Que.,"3,476","2,950",17.8,24.36,142.7
Saint-Adolphe-d'Howard,MÉ,Que.,"3,824","3,509",9,135.8,28.2
Saint-Sauveur,V,Que.,"11,580","10,231",13.2,47.62,243.2
Sainte-Adèle,V,Que.,"14,010","12,919",8.4,119.67,117.1
Sainte-Anne-des-Lacs,PE,Que.,"3,862","3,611",7,24.65,156.7
Sainte-Marguerite-du-Lac-Masson,V,Que.,"3,367","2,763",21.9,91.56,36.8
Wentworth-Nord 3,MÉ,Que.,"1,672","1,361",22.9,152.87,10.9
Danville,V,Que.,"3,888","3,826",1.6,151.73,25.6
Ham-Sud,MÉ,Que.,214,235,-8.9,151.21,1.4
Saint-Adrien,MÉ,Que.,522,522,0,98.52,5.3
Saint-Camille,CT,Que.,551,529,4.2,83.1,6.6
Saint-Georges-de-Windsor,MÉ,Que.,958,958,0,127.46,7.5
Val-des-Sources,V,Que.,"7,088","6,786",4.5,30.25,234.3
Wotton,MÉ,Que.,"1,402","1,430",-2,143.15,9.8
Boucherville,V,Que.,"41,743","41,671",0.2,71.02,587.8
Brossard,V,Que.,"91,525","85,721",6.8,45.19,"2,025.30"
Longueuil 3,V,Que.,"254,483","239,897",6.1,115.77,"2,198.20"
Saint-Bruno-de-Montarville 3,V,Que.,"26,273","26,197",0.3,42.85,613.2
Saint-Lambert,V,Que.,"22,761","21,861",4.1,7.56,"3,009.80"
Dosquet,MÉ,Que.,935,944,-1,65.07,14.4
Laurier-Station,VL,Que.,"2,570","2,573",-0.1,12.16,211.3
Leclercville,MÉ,Que.,491,473,3.8,136.61,3.6
Lotbinière,MÉ,Que.,855,812,5.3,79.91,10.7
Notre-Dame-du-Sacré-Coeur-d'Issoudun,PE,Que.,867,861,0.7,60.32,14.4
Saint-Agapit,MÉ,Que.,"4,526","4,280",5.7,65.4,69.2
Saint-Antoine-de-Tilly,MÉ,Que.,"1,682","1,598",5.3,59.95,28.1
Saint-Apollinaire,MÉ,Que.,"7,968","6,110",30.4,96.83,82.3
Saint-Flavien,MÉ,Que.,"1,619","1,618",0.1,66.16,24.5
Saint-Gilles,MÉ,Que.,"2,910","2,525",15.2,177.43,16.4
Saint-Janvier-de-Joly,MÉ,Que.,"1,079",984,9.7,109.88,9.8
Saint-Narcisse-de-Beaurivage,PE,Que.,"1,152","1,106",4.2,62.07,18.6
Saint-Patrice-de-Beaurivage,MÉ,Que.,"1,109","1,036",7,85.73,12.9
Saint-Sylvestre,MÉ,Que.,"1,019","1,019",0,147.15,6.9
Saint-Édouard-de-Lotbinière,PE,Que.,"1,240","1,194",3.9,98.43,12.6
Sainte-Agathe-de-Lotbinière,MÉ,Que.,"1,049","1,168",-10.2,166.99,6.3
Sainte-Croix,MÉ,Que.,"2,529","2,516",0.5,69.63,36.3
Val-Alain,MÉ,Que.,986,924,6.7,102.54,9.6
Lévis,V,Que.,"149,683","143,414",4.4,448.07,334.1
Baie-Comeau,V,Que.,"20,687","21,536",-3.9,334.83,61.8
Baie-Trinité,VL,Que.,438,407,7.6,417.48,1
Chute-aux-Outardes,VL,Que.,"1,391","1,563",-11,7.51,185.3
Franquelin,MÉ,Que.,285,313,-8.9,436.55,0.7
Godbout,VL,Que.,272,265,2.6,159.18,1.7
Pessamit,IRI,Que.,"2,428","2,256",7.6,245.19,9.9
Pointe-Lebel,VL,Que.,"1,817","1,918",-5.3,85.54,21.2
Pointe-aux-Outardes,VL,Que.,"1,434","1,332",7.7,75.19,19.1
Ragueneau,PE,Que.,"1,314","1,343",-2.2,179.83,7.3
Rivière-aux-Outardes,NO,Que.,92,94,-2.1,"32,713.75",0
Calixa-Lavallée,MÉ,Que.,509,523,-2.7,32.2,15.8
Contrecoeur,V,Que.,"9,480","7,887",20.2,62.2,152.4
Saint-Amable,V,Que.,"13,322","12,167",9.5,36.77,362.3
Sainte-Julie,V,Que.,"30,045","29,881",0.5,48.49,619.6
Varennes,V,Que.,"21,198","21,257",-0.3,94.8,223.6
Verchères,MÉ,Que.,"5,759","5,835",-1.3,72.63,79.3
Albanel,MÉ,Que.,"2,181","2,262",-3.6,197.45,11
Dolbeau-Mistassini 2,V,Que.,"13,718","14,212",-3.5,293.43,46.8
Girardville,MÉ,Que.,"1,018",988,3,124.11,8.2
Normandin,V,Que.,"2,991","3,033",-1.4,211.79,14.1
Notre-Dame-de-Lorette,MÉ,Que.,159,189,-15.9,325.77,0.5
Passes-Dangereuses 2,NO,Que.,210,184,14.1,"15,579.11",0
Péribonka,MÉ,Que.,489,515,-5,110.3,4.4
Rivière-Mistassini 2,NO,Que.,27,49,-44.9,"17,629.74",0
Saint-Augustin,PE,Que.,334,351,-4.8,104.25,3.2
Saint-Edmond-les-Plaines,MÉ,Que.,355,381,-6.8,84.39,4.2
Saint-Eugène-d'Argentenay,MÉ,Que.,487,488,-0.2,87.05,5.6
Saint-Stanislas,MÉ,Que.,376,373,0.8,153.58,2.4
Saint-Thomas-Didyme,MÉ,Que.,703,676,4,333.25,2.1
Sainte-Jeanne-d'Arc,VL,Que.,"1,101","1,050",4.9,267.28,4.1
Charette,MÉ,Que.,"1,034",953,8.5,41.9,24.7
Louiseville,V,Que.,"7,340","7,152",2.6,62.59,117.3
Maskinongé,MÉ,Que.,"2,323","2,319",0.2,73.31,31.7
Saint-Alexis-des-Monts,PE,Que.,"2,999","2,981",0.6,"1,035.74",2.9
Saint-Barnabé,PE,Que.,"1,186","1,196",-0.8,58.94,20.1
Saint-Boniface,MÉ,Que.,"5,156","4,832",6.7,107.42,48
Saint-Justin,MÉ,Que.,961,973,-1.2,78.96,12.2
Saint-Léon-le-Grand,PE,Que.,863,928,-7,75.97,11.4
Saint-Mathieu-du-Parc,MÉ,Que.,"1,482","1,338",10.8,218.85,6.8
Saint-Paulin,MÉ,Que.,"1,541","1,497",2.9,95.41,16.2
Saint-Sévère,PE,Que.,337,302,11.6,31.85,10.6
Saint-Édouard-de-Maskinongé,MÉ,Que.,798,712,12.1,52.82,15.1
Saint-Élie-de-Caxton,MÉ,Que.,"1,934","1,836",5.3,116.84,16.6
Saint-Étienne-des-Grès,PE,Que.,"4,539","4,541",0,104.54,43.4
Sainte-Angèle-de-Prémont,MÉ,Que.,631,596,5.9,37.73,16.7
Sainte-Ursule,MÉ,Que.,"1,355","1,330",1.9,67.83,20
Yamachiche,MÉ,Que.,"2,813","2,830",-0.6,106.39,26.4
Baie-Atibenne,NO,Que.,0,0,...,527.58,0
Baie-Obaoca,NO,Que.,0,0,...,"1,261.66",0
Baie-de-la-Bouteille,NO,Que.,10,5,100,"1,938.18",0
Chertsey,MÉ,Que.,"5,295","4,696",12.8,286.05,18.5
Communauté Atikamekw de Manawan,IRI,Que.,"2,000","2,060",-2.9,8.03,249.2
Entrelacs,MÉ,Que.,"1,054",928,13.6,48.71,21.6
Lac-Cabasta,NO,Que.,0,0,...,4.7,0
Lac-Devenyns,NO,Que.,5,0,...,100.71,0
Lac-Legendre,NO,Que.,0,0,...,693.58,0
Lac-Matawin,NO,Que.,10,10,0,759.12,0
Lac-Minaki,NO,Que.,0,0,...,80.59,0
Lac-Santé,NO,Que.,0,0,...,12.21,0
Lac-des-Dix-Milles,NO,Que.,0,0,...,224.78,0
Lac-du-Taureau,NO,Que.,0,0,...,5.86,0
Notre-Dame-de-la-Merci,MÉ,Que.,"1,097",905,21.2,248.58,4.4
Rawdon,MÉ,Que.,"11,719","11,057",6,185.38,63.2
Saint-Alphonse-Rodriguez,MÉ,Que.,"3,339","3,162",5.6,97.54,34.2
Saint-Côme,MÉ,Que.,"2,583","2,193",17.8,164.89,15.7
Saint-Damien,PE,Que.,"2,393","2,094",14.3,252.28,9.5
Saint-Donat,MÉ,Que.,"4,561","3,888",17.3,350.17,13
Saint-Félix-de-Valois,MÉ,Que.,"6,975","6,305",10.6,88.4,78.9
Saint-Guillaume-Nord,NO,Que.,102,87,17.2,752.78,0.1
Saint-Jean-de-Matha,MÉ,Que.,"4,838","4,450",8.7,109.49,44.2
Saint-Michel-des-Saints,MÉ,Que.,"2,496","2,359",5.8,493.92,5.1
Saint-Zénon,MÉ,Que.,"1,317","1,120",17.6,460.41,2.9
Sainte-Béatrix,MÉ,Que.,"2,170","1,955",11,82.96,26.2
Sainte-Marcelline-de-Kildare,MÉ,Que.,"1,795","1,594",12.6,34.52,52
Sainte-Émélie-de-l'Énergie,MÉ,Que.,"1,741","1,567",11.1,150.08,11.6
Austin,MÉ,Que.,"1,748","1,485",17.7,73.58,23.8
Ayer's Cliff 2,VL,Que.,"1,180","1,073",10,5.53,213.3
Bolton-Est,MÉ,Que.,"1,108",940,17.9,79.39,14
Eastman,MÉ,Que.,"2,279","1,843",23.7,73.57,31
Hatley 2,MÉ,Que.,771,685,12.6,60.43,12.8
Hatley,CT,Que.,"2,230","2,106",5.9,71.6,31.1
Magog,V,Que.,"28,312","26,669",6.2,144.26,196.3
North Hatley,VL,Que.,675,632,6.8,3.35,201.5
Ogden,MÉ,Que.,761,741,2.7,74.68,10.2
Orford,CT,Que.,"5,007","4,337",15.4,136.14,36.8
Potton,CT,Que.,"2,012","1,852",8.6,260.77,7.7
Saint-Benoît-du-Lac,MÉ,Que.,43,32,34.4,2.18,19.7
Saint-Étienne-de-Bolton,MÉ,Que.,816,674,21.1,47.27,17.3
Sainte-Catherine-de-Hatley,MÉ,Que.,"2,741","2,479",10.6,86.34,31.7
Stanstead,V,Que.,"2,824","2,788",1.3,21.95,128.7
Stanstead,CT,Que.,"1,148","1,036",10.8,113.2,10.1
Stukely-Sud,VL,Que.,"1,142","1,058",7.9,63.19,18.1
Aguanish,MÉ,Que.,224,245,-8.6,532.04,0.4
Baie-Johan-Beetz,MÉ,Que.,84,86,-2.3,327.46,0.3
Blanc-Sablon,MÉ,Que.,"1,122","1,112",0.9,234.98,4.8
Bonne-Espérance,MÉ,Que.,692,681,1.6,622.99,1.1
Côte-Nord-du-Golfe-du-Saint-Laurent,MÉ,Que.,787,856,-8.1,"2,597.05",0.3
Gros-Mécatina 2,MÉ,Que.,356,451,-21.1,742.15,0.5
Havre-Saint-Pierre,MÉ,Que.,"3,337","3,460",-3.6,"2,570.09",1.3
L'Île-d'Anticosti,MÉ,Que.,177,218,-18.8,"7,715.99",0
Lac-Jérôme,NO,Que.,0,0,...,"40,019.70",0
Longue-Pointe-de-Mingan,MÉ,Que.,408,434,-6,370.03,1.1
Mingan,IRI,Que.,552,552,0,17.24,32
Natashquan,MÉ,Que.,262,263,-0.4,667.91,0.4
Nutashkuan,IRI,Que.,915,835,9.6,1.35,678.5
Pakuashipi 5,S-É,Que.,..,237,..,3.87,..
Petit-Mécatina,NO,Que.,0,0,...,"35,347.19",0
Rivière-Saint-Jean,MÉ,Que.,227,215,5.6,513.36,0.4
Rivière-au-Tonnerre,MÉ,Que.,281,279,0.7,605.14,0.5
Romaine 2 5,IRI,Que.,..,977,..,0.84,..
Saint-Augustin,MÉ,Que.,425,445,-4.5,"1,137.68",0.4
Mirabel,V,Que.,"61,108","50,513",21,484.09,126.2
Saint-Alexis,MÉ,Que.,"1,370","1,308",4.7,43.01,31.9
Saint-Calixte,MÉ,Que.,"6,792","6,046",12.3,142.63,47.6
Saint-Esprit,MÉ,Que.,"2,011","1,967",2.2,54.19,37.1
Saint-Jacques,MÉ,Que.,"4,302","3,971",8.3,67.17,64
Saint-Liguori,MÉ,Que.,"2,066","1,943",6.3,50.88,40.6
Saint-Lin--Laurentides,V,Que.,"24,030","20,786",15.6,118.29,203.2
Saint-Roch-Ouest,MÉ,Que.,262,266,-1.5,20.14,13
Saint-Roch-de-l'Achigan,MÉ,Que.,"5,453","5,147",5.9,80.06,68.1
Sainte-Julienne,MÉ,Que.,"11,173","9,953",12.3,99.42,112.4
Sainte-Marie-Salomé,MÉ,Que.,"1,221","1,209",1,33.79,36.1
Berthier-sur-Mer,MÉ,Que.,"1,744","1,555",12.2,26.85,65
